13dge 0.015854 75.896169 1.571493
filter Unat
2456600.43287 17.46 0.04
2456600.45155 17.46 0.03
2456600.45311 17.69 0.16
2456602.43678 17.51 0.10
2456602.43846 17.60 0.04
2456604.43369 17.64 0.03
2456604.43525 17.68 0.03
2456606.51626 17.83 0.03
2456606.51782 17.76 0.03
2456608.54508 17.77 0.03
2456608.54664 17.78 0.03
2456611.42604 17.94 0.05
2456611.42830 17.93 0.05
2456617.21771 18.03 0.12
2456617.21997 18.12 0.12
2456619.44333 18.14 0.03
2456619.44560 18.16 0.03
2456622.57178 18.38 0.04
2456622.57404 18.34 0.04
2456625.64509 18.48 0.04
2456625.64735 18.44 0.05
2456628.80272 18.53 0.05
2456628.80498 18.46 0.05
2456640.89355 18.56 0.14
2456640.89582 18.45 0.13
filter zlcogt
2456540.62156 19.30 0.11
2456540.62638 19.35 0.12
2456541.59676 18.60 0.06
2456541.60156 18.77 0.05
2456541.62812 18.68 0.06
2456541.63293 18.77 0.07
2456542.17821 18.40 0.05
2456542.58778 18.31 0.05
2456542.59141 18.16 0.06
2456543.16225 17.74 0.41
2456543.16589 17.98 0.15
2456543.61157 17.91 0.11
2456543.61523 17.81 0.08
2456545.15465 17.55 0.11
2456545.26233 17.34 0.04
2456545.26597 17.40 0.05
2456545.83410 17.10 0.02
2456545.83774 17.13 0.03
2456546.25775 17.05 0.05
2456546.26140 17.04 0.05
2456546.28443 17.00 0.03
2456546.28808 17.05 0.02
2456546.84503 16.91 0.02
2456546.84868 17.05 0.09
2456546.86941 16.92 0.02
2456546.87306 16.96 0.02
2456546.89531 16.90 0.02
2456546.89896 16.92 0.02
2456547.25780 16.85 0.06
2456547.26146 16.91 0.05
2456547.28628 16.87 0.03
2456548.58240 16.75 0.03
2456548.58535 16.72 0.02
2456548.60221 16.69 0.02
2456548.60516 16.69 0.02
2456548.83123 16.70 0.02
2456548.83418 16.69 0.02
2456548.85302 16.61 0.02
2456548.85597 16.66 0.03
2456550.82806 16.51 0.02
2456550.83101 16.63 0.08
2456551.82510 16.45 0.01
2456551.82806 16.48 0.02
2456551.84574 16.45 0.01
2456551.84869 16.43 0.02
2456552.84622 16.38 0.02
2456552.84917 16.50 0.16
2456554.57713 16.39 0.02
2456554.57951 16.37 0.02
2456554.59303 16.37 0.02
2456554.59536 16.36 0.02
2456556.82079 16.39 0.02
2456556.82306 16.39 0.02
2456556.83705 16.51 0.03
2456556.83931 16.53 0.04
2456559.54389 16.50 0.02
2456559.56936 16.46 0.02
2456559.57162 16.49 0.02
2456560.53025 16.59 0.03
2456560.53251 16.55 0.02
2456560.54736 16.51 0.02
2456560.54962 16.52 0.02
2456563.80339 16.69 0.02
2456563.80565 16.64 0.02
2456574.48007 16.94 0.03
2456574.48233 16.87 0.02
2456577.22910 16.93 0.02
2456577.23135 16.94 0.02
2456579.59914 16.91 0.02
2456579.60209 16.92 0.03
2456579.62002 17.00 0.03
2456581.55039 16.92 0.03
2456581.55334 16.94 0.02
2456581.57079 16.90 0.03
2456581.57375 16.93 0.03
2456583.70895 16.91 0.03
2456583.71191 16.89 0.02
2456583.73205 16.90 0.02
2456585.54519 17.10 0.09
2456585.54822 16.94 0.03
