SN2014J 0.000677 148.925904 69.674044
filter Unat
57069.31601 18.87 0.03
57070.24916 18.90 0.03
57070.28332 18.83 0.03
57071.24830 18.80 0.03
57071.28249 18.84 0.03
57072.26627 18.88 0.06
57089.29861 19.02 0.07
57089.32903 19.01 0.07
57090.29308 19.02 0.06
57090.32697 18.95 0.05
57094.25939 19.13 0.03
57094.28455 19.29 0.04
57095.22801 18.99 0.04
57095.25345 19.35 0.05
57096.22957 19.25 0.04
57096.25462 19.23 0.05
57097.22045 19.09 0.08
57097.24542 18.94 0.04
57098.21170 19.14 0.03
57098.23428 19.15 0.04
57100.23954 19.14 0.04
57100.26265 19.17 0.04
57101.22623 19.24 0.04
57102.19571 19.32 0.04
57103.19803 19.33 0.04
57103.22059 19.21 0.04
57104.23611 19.30 0.05
57107.19080 19.34 0.05
57107.21361 19.17 0.05
57108.14637 19.06 0.04
57108.16351 19.27 0.05
57109.14652 19.09 0.05
57109.16571 19.42 0.07
57110.16727 19.40 0.10
57110.18522 19.23 0.13
57111.17465 19.57 0.19
57111.18896 19.48 0.18
57112.16314 19.71 0.15
57112.19721 19.38 0.08
57113.21902 19.44 0.10
57114.14345 19.41 0.10
57119.17992 19.92 0.11
57119.20583 19.65 0.16
57122.18365 19.59 0.06
57122.20956 19.82 0.07
57124.23044 19.74 0.07
57125.17405 19.66 0.06
57125.19873 19.46 0.05
57126.18765 20.04 0.07
57126.21240 19.55 0.05
57128.16925 19.80 0.12
57128.18903 19.66 0.06
57129.17272 19.64 0.06
57129.19269 19.67 0.06
57130.16521 19.61 0.06
57130.18286 19.62 0.06
57131.17720 19.80 0.06
57131.19493 19.77 0.06
57132.16603 19.62 0.06
filter R48
56700.35030 10.93 0.01
56700.39300 10.89 0.01
56706.16706 11.21 0.01
56706.21042 11.11 0.01
56708.16315 11.04 0.01
56710.15617 11.16 0.01
56710.27825 11.26 0.01
56711.17718 11.23 0.01
56711.26380 11.20 0.01
56712.16391 11.24 0.01
56712.22068 11.02 0.01
56713.14874 11.19 0.01
56713.32285 11.13 0.01
56714.22277 11.22 0.01
56714.27763 11.25 0.01
56721.12601 11.32 0.01
56721.29309 11.33 0.01
56722.29615 11.48 0.01
56724.12102 11.65 0.01
56724.15230 11.56 0.01
56724.37816 11.55 0.01
56724.43443 11.53 0.01
56725.12286 11.59 0.01
56725.16090 11.62 0.01
56726.12344 11.82 0.01
56726.29213 11.67 0.01
56727.19362 11.84 0.01
56727.31874 11.79 0.01
56728.22123 11.83 0.01
56728.34389 11.81 0.01
56728.39094 11.82 0.01
56728.39446 11.84 0.01
56729.25683 11.91 0.01
56729.31204 11.92 0.01
56729.38088 11.88 0.01
56730.28227 11.93 0.01
56730.37116 11.96 0.01
56734.12715 12.10 0.01
56734.21060 12.14 0.01
56735.18764 12.84 0.01
56735.30066 12.78 0.01
56738.37137 12.84 0.01
56739.17215 12.81 0.01
56739.30993 12.85 0.01
56740.21199 12.92 0.01
56740.25463 12.78 0.01
56741.16586 12.93 0.01
56741.22609 12.94 0.01
56742.17873 12.61 0.01
56745.19308 12.85 0.01
56745.27994 12.73 0.01
56746.22259 12.58 0.01
56746.29149 12.75 0.01
56748.17367 12.63 0.01
56751.16303 12.87 0.01
56752.16086 13.04 0.01
56752.28083 13.08 0.01
56754.14413 13.11 0.01
56754.21816 13.15 0.01
56755.14624 13.12 0.01
56755.21774 13.23 0.01
56756.15293 13.21 0.01
56756.28046 12.98 0.01
56757.20096 12.96 0.01
56757.26463 13.00 0.01
56759.18259 13.20 0.01
56759.24288 13.22 0.01
56760.30560 13.02 0.01
56760.33939 13.09 0.01
56761.24102 13.35 0.01
56761.29581 13.22 0.01
56762.22544 13.35 0.01
56762.27828 13.38 0.01
56763.19860 13.36 0.01
56763.28521 13.37 0.01
56764.21677 13.32 0.01
56764.28921 13.19 0.01
56766.23007 13.23 0.01
56767.16468 13.22 0.01
56768.24978 13.43 0.01
56769.17955 13.41 0.01
56769.26956 13.38 0.01
56770.22167 13.33 0.01
56771.21449 13.37 0.01
56771.27536 13.48 0.01
56772.21906 13.44 0.01
56772.32639 13.42 0.01
56776.19286 13.52 0.01
56776.23692 13.56 0.01
56777.19007 13.54 0.01
56778.20351 13.57 0.01
56778.25022 13.58 0.01
56779.20631 13.70 0.01
56779.26108 13.67 0.01
56780.16465 13.70 0.01
56780.19479 13.72 0.01
56781.16470 13.73 0.01
56781.19456 13.70 0.01
56782.18366 13.68 0.01
56782.21838 13.72 0.01
56783.16551 13.50 0.01
56783.19529 13.74 0.01
56833.17936 15.01 0.01
56833.21521 15.02 0.01
56834.17791 15.04 0.01
56834.20632 15.06 0.01
56835.17684 15.05 0.01
56835.20509 15.06 0.01
56922.52865 16.67 0.01
56943.52648 16.98 0.01
56965.47138 17.50 0.02
56971.47080 17.29 0.01
56971.49278 17.49 0.01
56971.52419 17.41 0.01
56971.54301 17.36 0.01
56972.47564 17.42 0.01
56972.51691 17.44 0.01
56978.54188 17.13 0.01
56980.51506 17.41 0.01
56981.49426 17.38 0.01
56981.53882 17.50 0.01
56983.50285 17.52 0.01
56984.52911 17.19 0.01
56985.51087 17.71 0.02
56986.52395 17.65 0.02
56987.45013 17.29 0.01
57042.55639 18.13 0.03
57153.17044 19.63 0.07
57153.23983 19.31 0.09
57155.23660 19.93 0.09
57163.17847 19.49 0.12
57163.18872 19.63 0.07
57181.20644 19.07 0.17
filter g_s
56679.30811 12.43 0.01
56679.30811 12.41 0.01
56679.30933 12.41 0.01
56679.37586 12.64 0.01
56679.37671 12.40 0.01
56682.19773 11.84 0.01
56682.19773 11.83 0.01
56682.19860 11.85 0.01
56683.20146 11.68 0.01
56683.20146 11.66 0.01
56683.20233 11.68 0.01
56683.20856 11.67 0.01
56683.20943 11.66 0.01
56684.32632 11.53 0.01
56684.32684 11.59 0.01
56684.32735 11.57 0.01
56684.33986 11.54 0.01
56684.34038 11.56 0.01
56684.34089 11.54 0.01
56685.29144 11.51 0.01
56685.29144 11.50 0.01
56685.29196 11.52 0.01
56685.29247 11.45 0.01
56685.30108 11.52 0.01
56685.30160 11.50 0.01
56685.30212 11.48 0.01
56687.27020 11.40 0.01
56687.27020 11.38 0.01
56687.27074 11.40 0.01
56687.27126 11.40 0.01
56688.36523 11.42 0.01
56688.36523 11.42 0.01
56688.36575 11.36 0.01
56688.36628 11.35 0.01
56689.18806 11.31 0.01
56689.18806 11.33 0.01
56689.18858 11.34 0.01
56689.18909 11.48 0.01
56689.19561 11.36 0.01
56689.19613 11.36 0.01
56689.19664 11.45 0.01
56692.47991 11.35 0.01
56692.48043 11.33 0.01
56692.48094 11.32 0.01
56693.14054 11.42 0.01
56693.14112 11.41 0.01
56693.14163 11.42 0.01
56696.14397 11.45 0.01
56696.14449 11.46 0.01
56696.14500 11.42 0.01
56698.13446 11.52 0.01
56698.13498 11.43 0.01
56698.13549 11.46 0.01
56701.10532 11.64 0.01
56701.17307 11.62 0.01
56701.17360 11.70 0.01
56701.17413 11.64 0.01
56703.50363 11.78 0.01
56703.50417 11.80 0.01
56703.50468 11.80 0.01
56704.23174 11.84 0.01
56704.23226 11.81 0.01
56704.23277 11.83 0.01
56706.15861 12.02 0.01
56706.15916 11.97 0.01
56706.15966 12.03 0.01
56710.08128 12.24 0.01
56710.08215 12.25 0.01
56710.08977 12.24 0.01
56710.09064 12.25 0.01
56711.17002 12.34 0.01
56711.17088 12.32 0.01
56713.10053 12.77 0.01
56713.10140 12.76 0.01
56713.19696 12.45 0.01
56713.19782 12.46 0.01
56715.10289 12.64 0.01
56715.10380 12.64 0.01
56717.42297 12.80 0.01
56717.42384 12.81 0.01
56719.14876 12.99 0.01
56719.14963 12.97 0.01
56721.40770 13.11 0.01
56721.40856 13.12 0.01
56730.40992 13.69 0.01
56730.41079 13.62 0.01
56740.38025 13.85 0.01
56740.38112 13.85 0.01
56744.21987 13.93 0.01
56744.22282 13.92 0.01
56744.26058 13.93 0.01
56744.26354 13.93 0.01
56747.35726 13.96 0.01
56747.36021 13.97 0.01
56749.35081 14.05 0.01
56749.35168 14.00 0.01
56754.09360 14.30 0.03
56754.09447 14.11 0.01
56754.09532 14.13 0.01
56770.14309 14.41 0.01
56770.14466 14.42 0.01
56786.10906 14.65 0.01
56786.11064 14.66 0.01
56790.17047 14.74 0.01
56790.17205 14.72 0.01
56792.13229 14.69 0.02
56796.16353 14.85 0.01
56796.16510 14.82 0.01
56805.12872 14.95 0.01
56805.13039 14.98 0.01
56811.13605 15.04 0.01
56811.13763 15.03 0.01
56820.12556 15.35 0.02
56820.12713 15.36 0.01
56936.48109 16.97 0.01
filter i_s
56805.13560 14.04 0.01
56805.13723 14.06 0.01
56807.16590 13.72 0.01
56807.16678 13.70 0.01
56811.14269 14.08 0.02
56811.14426 14.11 0.02
56820.16461 14.54 0.01
57096.50069 18.68 0.08
57137.40966 19.09 0.06
57137.41264 19.28 0.07
57149.37616 19.45 0.26
57149.37913 19.41 0.23
57153.31382 19.39 0.10
57153.31679 19.24 0.10
